,event_id,event_name,time_date,location,timezone,visiting_team,home_team
0,9164818,Baltimore Orioles at Cleveland Indians ,2015-06-05 23:05:00,Progressive Field,EST,Baltimore Orioles,Cleveland Indians 
1,9160029,Boston Red Sox at Baltimore Orioles ,2015-09-16 23:05:00,Oriole Park at Camden Yards,EST,Boston Red Sox,Baltimore Orioles 
2,9160028,Boston Red Sox at Baltimore Orioles ,2015-09-15 23:05:00,Oriole Park at Camden Yards,EST,Boston Red Sox,Baltimore Orioles 
3,9160027,Boston Red Sox at Baltimore Orioles ,2015-09-14 23:05:00,Oriole Park at Camden Yards,EST,Boston Red Sox,Baltimore Orioles 
4,9160026,Boston Red Sox at Baltimore Orioles ,2015-06-11 23:05:00,Oriole Park at Camden Yards,EST,Boston Red Sox,Baltimore Orioles 
5,9160001,Tampa Bay Rays at Baltimore Orioles ,2015-09-01 23:05:00,Oriole Park at Camden Yards,EST,Tampa Bay Rays,Baltimore Orioles 
6,9160000,Tampa Bay Rays at Baltimore Orioles ,2015-08-31 23:05:00,Oriole Park at Camden Yards,EST,Tampa Bay Rays,Baltimore Orioles 
7,9160003,Tampa Bay Rays at Baltimore Orioles ,2015-09-02 23:05:00,Oriole Park at Camden Yards,EST,Tampa Bay Rays,Baltimore Orioles 
8,9172019,Baltimore Orioles at Minnesota Twins ,2015-07-08 17:10:00,Target Field,CST,Baltimore Orioles,Minnesota Twins 
9,9172018,Baltimore Orioles at Minnesota Twins ,2015-07-08 00:10:00,Target Field,CST,Baltimore Orioles,Minnesota Twins 
10,9172189,Baltimore Orioles at Chicago White Sox ,2015-07-04 00:10:00,US Cellular Field,CST,Baltimore Orioles,Chicago White Sox 
11,9160848,Baltimore Orioles at Tampa Bay Rays ,2015-07-24 23:10:00,Tropicana Field,EST,Baltimore Orioles,Tampa Bay Rays 
12,9160854,Baltimore Orioles at Tampa Bay Rays ,2015-09-20 17:10:00,Tropicana Field,EST,Baltimore Orioles,Tampa Bay Rays 
13,9160850,Baltimore Orioles at Tampa Bay Rays ,2015-07-26 17:10:00,Tropicana Field,EST,Baltimore Orioles,Tampa Bay Rays 
14,9160851,Baltimore Orioles at Tampa Bay Rays ,2015-09-17 23:10:00,Tropicana Field,EST,Baltimore Orioles,Tampa Bay Rays 
15,9160852,Baltimore Orioles at Tampa Bay Rays ,2015-09-18 23:10:00,Tropicana Field,EST,Baltimore Orioles,Tampa Bay Rays 
16,9150307,Baltimore Orioles at New York Yankees ,2015-09-07 17:05:00,Yankee Stadium,EST,Baltimore Orioles,New York Yankees 
17,9150304,Baltimore Orioles at New York Yankees ,2015-07-21 23:05:00,Yankee Stadium,EST,Baltimore Orioles,New York Yankees 
18,9160849,Baltimore Orioles at Tampa Bay Rays ,2015-07-25 22:10:00,Tropicana Field,EST,Baltimore Orioles,Tampa Bay Rays 
19,9162289,Baltimore Orioles at Miami Marlins ,2015-05-22 23:10:00,Marlins Park,EST,Baltimore Orioles,Miami Marlins 
20,9160007,Boston Red Sox at Baltimore Orioles ,2015-04-24 23:05:00,Oriole Park at Camden Yards,EST,Boston Red Sox,Baltimore Orioles 
21,9164991,Baltimore Orioles at Detroit Tigers ,2015-07-17 23:08:00,Comerica Park,EST,Baltimore Orioles,Detroit Tigers 
22,9160051,New York Yankees at Baltimore Orioles ,2015-04-15 23:05:00,Oriole Park at Camden Yards,EST,New York Yankees,Baltimore Orioles 
23,9167887,Baltimore Orioles at Kansas City Royals ,2015-08-25 00:10:00,Kauffman Stadium,CST,Baltimore Orioles,Kansas City Royals 
24,9160053,New York Yankees at Baltimore Orioles ,2015-06-12 23:05:00,Oriole Park at Camden Yards,EST,New York Yankees,Baltimore Orioles 
25,9160057,New York Yankees at Baltimore Orioles ,2015-10-02 23:05:00,Oriole Park at Camden Yards,EST,New York Yankees,Baltimore Orioles 
